date,sales
2016-09-16,46.62
2016-09-19,47.01
2016-09-20,43.82
2016-09-21,27.17
2016-09-22,38.81
2016-09-23,43.48
2016-09-24,23.74
2016-09-26,57.13
2016-09-27,52.19
2016-09-28,53.13
2016-09-29,33.13
2016-09-30,40.35
2016-10-01,13.34
2016-10-03,23.32
2016-10-04,65.27
2016-10-05,56.55
2016-10-06,62.44
2016-10-07,39.25
2016-10-08,18.06
2016-10-10,45.48
2016-10-11,75.28
2016-10-12,67.82
2016-10-13,90.93
2016-10-14,97.95
2016-10-15,23.1
2016-10-17,45.03
2016-10-18,26.93
2016-10-19,45.44
2016-10-20,64.18
2016-10-21,44.24
2016-10-22,13.79
2016-10-24,26.79
2016-10-25,64.35
2016-10-26,24.42
2016-10-27,35.32
2016-10-29,23.97
2016-10-30,5.44
2016-10-31,86.47
2016-11-01,90.13
2016-11-02,31.71
2016-11-03,52.4
2016-11-04,56.99
2016-11-05,16.16
2016-11-07,83.29
2016-11-08,72.28
2016-11-09,28.11
2016-11-10,182.23
2016-11-11,65.76
2016-11-12,34.88
2016-11-14,59.95
2016-11-15,55.54
2016-11-16,34.21
2016-11-17,34.58
2016-11-18,50.58
2016-11-19,31.08
2016-11-21,63.72
2016-11-22,58.12
2016-11-23,152.63
2016-11-24,59.7
2016-11-25,46.44
2016-11-26,40.51
2016-11-28,68.2
2016-11-29,63.5
2016-11-30,35.88
2016-12-01,77.52
2016-12-02,95.41
2016-12-03,38.95
2016-12-05,64.46
2016-12-06,62.49
2016-12-07,37.23
2016-12-08,47.87
2016-12-09,71.53
2016-12-10,37.18
2016-12-11,19.66
2016-12-12,40.83
2016-12-13,77.98
2016-12-14,57.2
2016-12-15,62.69
2016-12-16,63.9
2016-12-17,39.65
2016-12-18,20.33
2016-12-19,106.57
2016-12-20,98.51
2016-12-21,79.8
2016-12-22,128.57
2016-12-23,94.2
2016-12-24,83.57
2016-12-27,154.3
2016-12-28,95.04
2016-12-29,81.01
2016-12-30,99.58
2016-12-31,45.79
2017-01-03,101.87
2017-01-04,61.26
2017-01-05,46.41
2017-01-07,35.4
2017-01-09,70.78
2017-01-10,66.01
2017-01-11,39.48
2017-01-12,49.57
2017-01-13,57.14
2017-01-14,27.34
2017-01-16,51.34
2017-01-17,52.92
2017-01-18,66.66
2017-01-19,61.19
2017-01-20,72.03
2017-01-21,24.04
2017-01-23,43.54
2017-01-24,74.54
2017-01-25,48.62
2017-01-26,84.68
2017-01-27,44.16
2017-01-28,34.59
2017-01-30,64.01
2017-01-31,59.72
2017-02-01,23.83
2017-02-02,47.81
2017-02-03,63.12
2017-02-04,35.63
2017-02-06,66.17
2017-02-07,58.84
2017-02-08,50.9
2017-02-09,32.79
2017-02-10,72.44
2017-02-11,36.76
2017-02-13,70.37
2017-02-14,60.27
2017-02-15,44.2
2017-02-16,67.66
2017-02-17,35.4
2017-02-18,37.89
2017-02-20,57.95
2017-02-21,50.41
2017-02-22,63.27
2017-02-23,59.03
2017-02-24,52.04
2017-02-25,19.32
2017-02-28,62.58
2017-03-01,64.28
2017-03-02,83.92
2017-03-03,56.81
2017-03-04,35.05
2017-03-06,72.2
2017-03-07,94.16
2017-03-08,38.65
2017-03-09,64.91
2017-03-10,34.3
2017-03-11,43.22
2017-03-13,58.54
2017-03-14,64.51
2017-03-15,110.1
2017-03-16,49.9
2017-03-17,41.6
2017-03-18,36.2
2017-03-20,63.54
2017-03-21,36.69
2017-03-22,87.37
2017-03-23,88.14
2017-03-24,50.57
2017-03-27,91.15
2017-03-28,43.73
2017-03-29,36.46
2017-03-30,48.09
2017-03-31,122.99
2017-04-01,123.86
2017-04-03,101.06
2017-04-04,176.39
2017-04-05,115.59
2017-04-06,125.1
2017-04-07,101.1
2017-04-08,51.31
2017-04-09,12.01
2017-04-10,82.4
2017-04-11,109.66
2017-04-12,82.23
2017-04-13,130.81
2017-04-14,47.04
2017-04-15,37.95
2017-04-18,153.84
2017-04-19,61.44
2017-04-20,123.8
2017-04-21,90.76
2017-04-22,24.96
2017-04-24,59.67
2017-04-25,93.38
2017-04-26,95.75
2017-04-27,124.69
2017-04-28,97.15
2017-04-29,64.67
2017-05-02,139.06
2017-05-03,92.11
2017-05-04,56.73
2017-05-05,122.16
2017-05-06,46.15
2017-05-08,88.09
2017-05-09,82.76
2017-05-10,60.84
2017-05-11,89.29
2017-05-12,84.3
2017-05-13,45.13
2017-05-15,74.94
2017-05-16,98.65
2017-05-17,74.45
2017-05-18,105.35
2017-05-19,74.46
2017-05-20,67.68
2017-05-22,56.62
2017-05-23,103.38
2017-05-24,81.28
2017-05-25,129.75
2017-05-26,74.79
2017-05-27,52.65
2017-05-29,105.67
2017-05-30,82.61
2017-05-31,95.18
2017-06-01,122.57
2017-06-02,52.85
2017-06-03,43.41
2017-06-05,52.76
2017-06-06,69.39
2017-06-07,93.01
2017-06-08,103.63
2017-06-09,84.47
2017-06-10,41.09
2017-06-12,87.22
2017-06-13,53.83
2017-06-14,97.25
2017-06-15,84.72
2017-06-16,112.25
2017-06-17,73.65
2017-06-19,104.91
2017-06-20,97.94
2017-06-21,57.96
2017-06-22,87.53
2017-06-23,121.09
2017-06-24,46.52
2017-06-26,124.02
2017-06-27,91.17
2017-06-28,77.07
2017-06-29,91.39
2017-06-30,66.8
2017-07-01,76.67
2017-07-03,89.33
2017-07-04,98.44
2017-07-05,80.82
2017-07-06,91.42
2017-07-07,100.83
2017-07-08,34.09
2017-07-10,114.04
2017-07-11,87.85
2017-07-12,72.28
2017-07-13,95.8
2017-07-14,97.3
2017-07-15,47.74
2017-07-17,81.58
2017-07-18,104.08
2017-07-19,87.68
2017-07-20,93.83
2017-07-21,79.0
2017-07-22,48.75
2017-07-24,110.06
2017-07-25,126.85
2017-07-26,77.96
2017-07-27,99.65
2017-07-28,83.88
2017-07-29,55.0
2017-07-31,108.76
2017-08-01,146.29
2017-08-02,70.97
2017-08-03,148.83
2017-08-04,106.1
2017-08-05,48.49
2017-08-07,101.5
2017-08-08,110.58
2017-08-09,69.08
2017-08-10,107.77
2017-08-11,111.45
2017-08-12,50.77
2017-08-14,116.42
2017-08-16,97.54
2017-08-17,132.38
2017-08-18,70.1
2017-08-19,43.28
2017-08-21,52.54
2017-08-22,87.16
2017-08-23,73.67
2017-08-24,80.27
2017-08-25,70.49
2017-08-26,30.54
2017-08-28,91.83
2017-08-29,66.63
2017-08-30,75.75
2017-08-31,85.17
2017-09-01,96.68
2017-09-02,41.96
2017-09-04,84.21
2017-09-05,91.88
2017-09-06,49.84
2017-09-07,71.72
2017-09-08,147.03
2017-09-09,39.8
2017-09-11,90.79
2017-09-12,120.85
2017-09-13,69.68
2017-09-14,64.62
2017-09-15,76.37
2017-09-16,36.7
2017-09-18,115.94
2017-09-19,63.54
2017-09-20,54.07
2017-09-21,61.81
2017-09-22,80.18
2017-09-23,34.91
2017-09-25,95.31
2017-09-26,46.17
2017-09-27,47.0
2017-09-28,86.82
2017-09-29,80.0
2017-09-30,55.22
2017-10-02,87.64
2017-10-03,74.15
2017-10-04,100.7
2017-10-05,102.64
2017-10-06,56.66
2017-10-07,50.9
2017-10-09,92.83
2017-10-10,95.11
2017-10-11,73.7
2017-10-12,69.65
2017-10-13,74.87
2017-10-14,30.85
2017-10-16,74.28
2017-10-17,100.97
2017-10-18,81.51
2017-10-19,65.39
2017-10-20,80.45
2017-10-21,55.38
2017-10-23,77.41
2017-10-24,76.09
2017-10-25,57.03
2017-10-26,90.1
2017-10-27,63.54
2017-10-30,102.8
2017-10-31,119.3
2017-11-01,64.53
2017-11-02,89.73
2017-11-03,88.85
2017-11-04,39.3
2017-11-06,83.47
2017-11-07,67.64
2017-11-08,93.19
2017-11-09,51.69
2017-11-10,62.17
2017-11-11,52.83
2017-11-13,62.36
2017-11-14,85.24
2017-11-15,51.79
2017-11-16,46.33
2017-11-17,50.6
2017-11-18,36.32
2017-11-20,83.74
2017-11-21,50.42
2017-11-22,66.58
2017-11-23,134.89
2017-11-24,149.28
2017-11-25,61.11
2017-11-27,101.53
2017-11-28,57.9
2017-11-29,121.21
2017-11-30,72.02
2017-12-01,84.02
2017-12-02,50.28
2017-12-04,92.88
2017-12-05,58.79
2017-12-06,88.7
2017-12-07,68.89
2017-12-08,119.76
2017-12-09,51.35
2017-12-11,73.41
2017-12-12,85.18
2017-12-13,57.4
2017-12-14,83.52
2017-12-15,108.49
2017-12-16,81.21
2017-12-17,41.21
2017-12-18,101.17
2017-12-19,137.75
2017-12-20,155.53
2017-12-21,159.65
2017-12-22,177.75
2017-12-23,83.3
2017-12-24,88.85
2017-12-27,179.93
2017-12-28,106.62
2017-12-29,113.43
2017-12-30,98.08
2017-12-31,71.65
2018-01-03,120.96
2018-01-04,121.94
2018-01-05,104.21
2018-01-08,118.44
2018-01-09,75.32
2018-01-10,105.41
2018-01-11,93.77
2018-01-12,122.81
2018-01-13,57.39
2018-01-14,12.04
2018-01-15,86.16
2018-01-16,62.98
2018-01-17,79.49
2018-01-18,61.32
2018-01-19,55.75
2018-01-20,29.68
2018-01-22,74.6
2018-01-23,56.59
2018-01-24,32.8
2018-01-25,49.61
2018-01-26,74.62
2018-01-27,56.33
2018-01-29,65.81
2018-01-30,56.58
2018-01-31,33.1
2018-02-01,58.68
2018-02-02,42.4
2018-02-03,35.53
2018-02-05,57.67
2018-02-06,70.46
2018-02-07,50.88
2018-02-08,54.08
2018-02-09,64.85
2018-02-10,43.73
2018-02-12,47.83
2018-02-13,78.19
2018-02-14,57.0
2018-02-15,61.03
2018-02-16,87.29
2018-02-17,33.03
2018-02-20,67.98
2018-02-21,53.04
2018-02-22,61.99
2018-02-23,73.79
2018-02-24,32.8
2018-02-26,112.5
2018-02-27,52.78
2018-02-28,51.35
2018-03-01,59.39
2018-03-02,76.67
2018-03-03,40.72
2018-03-05,36.61
2018-03-06,38.16
2018-03-07,52.28
2018-03-08,46.82
2018-03-09,45.97
2018-03-10,36.1
2018-03-12,273.14
2018-03-13,48.82
2018-03-14,64.44
2018-03-15,50.64
2018-03-16,93.34
2018-03-17,41.8
2018-03-19,66.37
2018-03-20,75.45
2018-03-21,62.07
2018-03-22,66.96
2018-03-23,97.65
2018-03-24,35.82
2018-03-26,82.21
2018-03-27,77.53
2018-03-28,82.54
2018-03-29,106.62
2018-03-30,69.78
2018-03-31,54.81
2018-04-01,14.64
2018-04-02,80.37
2018-04-03,110.36
2018-04-04,70.53
2018-04-05,84.11
2018-04-06,33.44
2018-04-07,19.28
2018-04-10,93.76
2018-04-11,66.64
2018-04-12,84.84
2018-04-13,101.14
2018-04-14,56.47
2018-04-16,55.98
2018-04-17,77.68
2018-04-18,68.32
2018-04-19,35.92
2018-04-20,69.53
2018-04-21,51.74
2018-04-23,61.0
2018-04-24,102.66
2018-04-25,109.11
2018-04-26,66.34
2018-04-27,64.91
2018-04-28,36.84
2018-04-30,103.66
2018-05-02,46.51
2018-05-03,90.6
2018-05-04,104.65
2018-05-05,77.19
2018-05-07,74.31
2018-05-08,84.06
2018-05-09,137.15
2018-05-10,79.1
2018-05-11,72.93
2018-05-12,55.46
2018-05-14,80.49
2018-05-15,58.85
2018-05-16,72.23
2018-05-17,87.14
2018-05-18,80.88
2018-05-19,57.44
2018-05-21,84.93
2018-05-22,56.53
2018-05-23,36.22
2018-05-24,68.27
2018-05-25,110.93
2018-05-26,52.93
2018-05-28,61.67
2018-05-29,78.66
2018-05-30,42.86
2018-05-31,80.26
2018-06-01,73.08
2018-06-02,40.18
2018-06-04,110.43
2018-06-05,104.12
2018-06-06,82.29
2018-06-07,82.07
2018-06-08,73.21
2018-06-09,28.07
2018-06-11,100.4
2018-06-12,74.59
2018-06-13,66.91
2018-06-14,64.91
2018-06-15,79.48
2018-06-16,30.15
2018-06-18,95.1
2018-06-19,54.28
2018-06-20,117.41
2018-06-21,95.13
2018-06-22,93.66
2018-06-23,66.31
2018-06-25,93.32
2018-06-26,102.06
2018-06-27,86.62
2018-06-28,102.22
2018-06-29,111.59
2018-06-30,56.58
2018-07-02,76.17
2018-07-03,84.49
2018-07-04,81.62
2018-07-05,114.48
2018-07-06,65.61
2018-07-07,31.69
2018-07-09,116.53
2018-07-10,56.9
2018-07-11,94.5
2018-07-12,173.63
2018-07-13,117.15
2018-07-14,48.47
2018-07-16,84.11
2018-07-17,133.64
2018-07-18,182.95
2018-07-19,233.01
2018-07-20,149.13
2018-07-21,71.9
2018-07-23,98.36
2018-07-24,126.0
2018-07-25,155.47
2018-07-26,125.52
2018-07-27,99.09
2018-07-28,42.52
2018-07-30,132.95
2018-07-31,143.66
2018-08-01,161.78
2018-08-02,110.2
2018-08-03,163.57
2018-08-04,82.7
2018-08-06,108.65
2018-08-07,119.86
2018-08-08,154.29
2018-08-09,111.27
2018-08-10,153.16
2018-08-11,74.52
2018-08-13,128.08
2018-08-14,121.85
2018-08-16,127.2
2018-08-17,82.46
2018-08-18,33.03
2018-08-20,108.99
2018-08-21,90.01
2018-08-22,60.88
2018-08-23,79.12
2018-08-24,123.39
2018-08-25,48.91
2018-08-27,130.24
2018-08-28,68.02
2018-08-29,58.24
2018-08-30,103.34
2018-08-31,91.57
2018-09-01,41.53
2018-09-03,96.6
2018-09-04,112.59
2018-09-05,88.92
2018-09-06,71.54
2018-09-07,85.13
2018-09-08,33.36
2018-09-10,98.52
2018-09-11,117.29
2018-09-12,78.68
2018-09-13,74.01
2018-09-14,58.33
2018-09-15,44.29
2018-09-17,81.99
2018-09-18,91.25
2018-09-19,40.75
2018-09-20,106.13
2018-09-21,76.98
2018-09-22,52.69
2018-09-24,71.35
2018-09-25,80.98
2018-09-26,58.24
2018-09-27,127.75
2018-09-28,91.8
2018-09-29,59.02
2018-10-01,59.81
2018-10-02,80.12
2018-10-03,79.35
2018-10-04,81.59
2018-10-05,73.62
2018-10-06,52.84
2018-10-08,114.35
2018-10-09,82.18
2018-10-10,70.1
2018-10-11,125.01
2018-10-12,104.63
2018-10-13,48.0
2018-10-15,102.54
2018-10-16,71.08
2018-10-17,75.68
2018-10-18,70.64
2018-10-19,83.95
2018-10-20,59.31
2018-10-22,60.95
2018-10-23,57.33
2018-10-24,102.86
2018-10-25,71.53
2018-10-26,58.51
2018-10-27,38.38
2018-10-29,68.08
2018-10-30,69.36
2018-10-31,86.2
2018-11-01,86.16
2018-11-02,59.25
2018-11-03,58.62
2018-11-05,86.22
2018-11-06,65.4
2018-11-07,75.4
2018-11-08,77.61
2018-11-09,67.62
2018-11-10,43.7
2018-11-12,57.42
2018-11-13,66.33
2018-11-14,51.92
2018-11-15,99.46
2018-11-16,65.35
2018-11-17,14.42
2018-11-19,120.08
2018-11-20,139.94
2018-11-21,243.56
2018-11-22,142.5
2018-11-23,262.38
2018-11-24,112.23
2018-11-26,159.15
2018-11-27,127.44
2018-11-28,87.61
2018-11-29,73.88
2018-11-30,59.86
2018-12-01,30.95
2018-12-03,90.46
2018-12-04,66.96
2018-12-05,92.52
2018-12-06,103.52
2018-12-07,61.02
2018-12-08,34.96
2018-12-10,115.34
2018-12-11,99.92
2018-12-12,62.25
2018-12-13,76.24
2018-12-14,91.24
2018-12-15,70.36
2018-12-16,13.91
2018-12-17,131.56
2018-12-18,159.99
2018-12-19,171.08
2018-12-20,203.76
2018-12-21,110.21
2018-12-22,90.82
2018-12-23,61.48
2018-12-24,153.96
2018-12-27,143.87
2018-12-28,101.3
2018-12-29,66.3
2018-12-30,30.04
2018-12-31,62.49
2019-01-02,31.84
2019-01-03,123.64
2019-01-04,57.18
2019-01-05,30.93
2019-01-07,71.87
2019-01-08,77.25
2019-01-09,184.53
2019-01-10,86.22
2019-01-11,94.91
2019-01-12,37.54
2019-01-14,89.08
2019-01-15,61.79
2019-01-16,70.45
2019-01-17,84.11
2019-01-18,80.11
2019-01-19,53.17
2019-01-21,78.04
2019-01-22,51.81
2019-01-23,46.41
2019-01-24,75.55
2019-01-25,63.22
2019-01-26,53.03
2019-01-28,91.64
2019-01-29,86.1
2019-01-30,45.38
2019-01-31,68.55
2019-02-01,97.79
2019-02-02,70.24
2019-02-04,120.48
2019-02-05,53.57
2019-02-06,83.47
2019-02-07,83.93
2019-02-08,91.06
2019-02-09,49.38
2019-02-11,47.25
2019-02-12,55.23
2019-02-13,64.71
2019-02-14,79.2
2019-02-15,86.16
2019-02-16,34.52
2019-02-18,95.77
2019-02-19,69.81
2019-02-20,64.76
2019-02-21,81.86
2019-02-22,59.84
2019-02-23,43.68
2019-02-25,105.58
2019-02-26,68.72
2019-02-27,65.48
2019-02-28,100.63
2019-03-01,60.55
2019-03-02,34.07
2019-03-04,66.79
2019-03-05,65.89
2019-03-06,88.33
2019-03-07,82.43
2019-03-08,127.06
2019-03-09,49.02
2019-03-12,58.83
2019-03-13,46.58
2019-03-14,71.85
2019-03-15,63.02
2019-03-16,42.61
2019-03-18,62.31
2019-03-19,112.37
2019-03-20,65.72
2019-03-21,71.75
2019-03-22,64.65
2019-03-23,30.37
2019-03-26,87.77
2019-03-27,56.59
2019-03-28,120.0
2019-03-29,37.61
2019-03-30,41.52
2019-03-31,9.26
2019-04-01,86.87
2019-04-02,85.17
2019-04-03,72.65
2019-04-04,84.09
2019-04-05,55.2
2019-04-06,36.08
2019-04-08,111.18
2019-04-09,67.99
2019-04-10,90.75
2019-04-11,65.1
2019-04-12,78.49
2019-04-13,49.14
2019-04-15,86.77
2019-04-16,107.82
2019-04-17,70.22
2019-04-18,87.52
2019-04-19,155.98
2019-04-20,54.9
2019-04-22,158.33
2019-04-23,79.72
2019-04-24,107.1
2019-04-25,120.67
2019-04-26,48.15
2019-04-27,30.09
2019-04-30,93.96
2019-05-02,174.87
2019-05-03,101.04
2019-05-04,51.99
2019-05-06,113.83
2019-05-07,144.9
2019-05-08,113.27
2019-05-09,86.57
2019-05-10,67.29
2019-05-11,43.13
2019-05-13,85.82
2019-05-14,79.55
2019-05-15,75.98
2019-05-16,72.91
2019-05-17,74.23
2019-05-18,47.35
2019-05-20,105.47
2019-05-21,100.05
2019-05-22,89.25
2019-05-23,81.54
2019-05-24,82.64
2019-05-25,44.34
2019-05-27,103.8
2019-05-28,98.92
2019-05-29,81.39
2019-05-30,92.69
2019-05-31,56.64
2019-06-01,66.32
2019-06-03,99.14
2019-06-04,99.99
2019-06-05,102.91
2019-06-06,131.98
2019-06-07,71.49
2019-06-08,50.66
2019-06-10,102.59
2019-06-11,91.86
2019-06-12,58.35
2019-06-13,100.78
2019-06-14,78.87
2019-06-15,66.53
2019-06-17,81.82
2019-06-18,108.47
2019-06-19,116.67
2019-06-20,77.86
2019-06-21,118.36
2019-06-22,108.01
2019-06-24,101.73
2019-06-25,87.82
2019-06-26,77.08
2019-06-27,102.09
2019-06-28,79.29
2019-06-29,49.67
2019-07-01,112.92
2019-07-02,129.96
2019-07-03,133.5
2019-07-04,98.38
2019-07-05,131.22
2019-07-06,67.63
2019-07-08,108.48
2019-07-09,113.62
2019-07-10,128.74
2019-07-11,124.16
2019-07-12,100.34
2019-07-13,54.0
2019-07-15,144.96
2019-07-16,105.22
2019-07-17,138.05
2019-07-18,89.53
2019-07-19,153.98
2019-07-20,38.01
2019-07-22,133.35
2019-07-23,132.58
2019-07-24,100.46
2019-07-25,99.35
2019-07-26,122.35
2019-07-27,48.09
2019-07-29,116.32
2019-07-30,102.04
2019-07-31,122.06
2019-08-01,147.52
2019-08-02,120.75
2019-08-03,60.27
2019-08-05,144.33
2019-08-06,127.95
2019-08-07,118.03
2019-08-08,159.26
2019-08-09,100.97
2019-08-10,63.99
2019-08-12,137.22
2019-08-13,110.13
2019-08-14,80.96
2019-08-16,63.23
2019-08-17,37.2
2019-08-19,111.65
2019-08-20,82.54
2019-08-21,100.6
2019-08-22,100.78
2019-08-23,71.17
2019-08-24,56.81
2019-08-26,94.08
2019-08-27,97.77
2019-08-28,71.3
2019-08-29,147.6
2019-08-30,151.18
2019-08-31,129.28
2019-09-02,117.0
2019-09-03,117.67
2019-09-04,117.52
2019-09-05,101.4
2019-09-06,98.99
2019-09-07,73.23
2019-09-09,170.82
2019-09-10,60.41
2019-09-11,114.51
2019-09-12,109.34
2019-09-13,85.08
2019-09-14,72.12
2019-09-16,103.25
2019-09-17,133.0
2019-09-18,69.71
2019-09-19,89.37
2019-09-20,68.1
2019-09-21,41.82
2019-09-23,155.53
2019-09-24,53.55
2019-09-25,108.98
2019-09-26,116.44
2019-09-27,212.51
2019-09-28,66.16
2019-09-30,86.03
2019-10-01,85.79
2019-10-02,45.46
2019-10-03,98.05
2019-10-04,102.7
2019-10-05,37.32
2019-10-07,101.99
2019-10-08,96.74
2019-10-09,53.72
2019-10-10,85.62
2019-10-11,66.54
2019-10-12,24.36
2019-10-14,63.19
2019-10-15,69.4
2019-10-16,50.19
2019-10-17,78.34
2019-10-18,121.18
2019-10-19,41.95
2019-10-21,83.36
2019-10-22,85.89
2019-10-23,48.07
2019-10-24,98.82
2019-10-25,81.3
2019-10-26,54.86
2019-10-29,80.96
2019-10-30,47.88
2019-10-31,59.74
2019-11-01,88.99
2019-11-02,31.39
2019-11-04,62.91
2019-11-05,76.68
2019-11-06,81.94
2019-11-07,67.76
2019-11-08,70.59
2019-11-09,35.39
2019-11-11,55.14
2019-11-12,70.17
2019-11-13,88.11
2019-11-14,116.89
2019-11-15,57.51
2019-11-16,32.71
2019-11-18,67.52
2019-11-19,47.73
2019-11-20,82.48
2019-11-21,41.17
2019-11-22,86.93
2019-11-23,48.08
2019-11-25,138.19
2019-11-26,114.65
2019-11-27,166.71
2019-11-28,184.3
2019-11-29,198.4
2019-11-30,102.8
2019-12-02,228.49
2019-12-03,105.91
2019-12-04,152.86
2019-12-05,113.42
2019-12-06,169.46
2019-12-07,43.79
2019-12-09,55.9
2019-12-10,94.68
2019-12-11,127.76
2019-12-12,94.91
2019-12-13,49.97
2019-12-14,37.57
2019-12-16,88.52
2019-12-17,141.26
2019-12-18,85.7
2019-12-19,99.71
2019-12-20,113.98
2019-12-21,90.62
2019-12-22,30.59
2019-12-23,109.4
2019-12-24,143.65
2019-12-27,221.24
2019-12-28,51.89
2019-12-29,46.09
2019-12-30,94.85
2019-12-31,126.33
2020-01-02,17.35
2020-01-03,42.71
2020-01-04,33.01
2020-01-07,66.26
2020-01-08,139.01
2020-01-09,59.19
2020-01-10,65.67
2020-01-11,38.94
2020-01-13,56.77
2020-01-14,67.58
2020-01-15,59.87
2020-01-16,123.37
2020-01-17,78.58
2020-01-18,39.78
2020-01-20,39.58
2020-01-21,58.09
2020-01-22,59.77
2020-01-23,85.22
2020-01-24,41.32
2020-01-25,62.21
2020-01-27,54.68
2020-01-28,46.89
2020-01-29,91.35
2020-01-30,60.81
2020-02-01,48.21
2020-02-03,68.88
2020-02-04,76.03
2020-02-05,78.62
2020-02-06,64.69
2020-02-07,39.26
2020-02-08,47.83
2020-02-10,48.15
2020-02-11,70.61
2020-02-12,99.38
2020-02-13,85.51
2020-02-14,55.0
2020-02-15,41.11
2020-02-17,36.36
2020-02-18,48.33
2020-02-19,47.73
2020-02-20,79.75
2020-02-21,69.46
2020-02-22,33.95
2020-02-24,72.69
2020-02-25,51.89
2020-02-26,53.81
2020-02-27,105.77
2020-02-28,53.47
2020-02-29,39.97
2020-03-03,78.67
2020-03-04,46.63
2020-03-05,76.37
2020-03-06,67.17
2020-03-07,39.54
2020-03-09,63.58
2020-03-10,35.11
2020-03-11,59.18
2020-03-12,46.32
2020-03-13,33.95
2020-03-14,31.21
2020-03-16,78.11
2020-03-17,69.51
2020-03-18,28.43
2020-03-19,28.38
2020-03-20,31.54
2020-03-23,58.69
2020-03-24,47.24
2020-03-26,55.65
2020-03-27,25.96
2020-03-30,66.07
2020-03-31,46.47
2020-04-01,51.55
2020-04-02,33.7
2020-04-03,24.77
2020-04-06,45.88
2020-04-07,44.63
2020-04-08,54.97
2020-04-09,47.15
2020-04-10,55.87
2020-04-11,13.38
2020-04-13,88.72
2020-04-14,101.22
2020-04-15,66.16
2020-04-16,83.28
2020-04-17,25.11
2020-04-21,115.9
2020-04-22,72.99
2020-04-23,70.63
2020-04-24,82.95
2020-04-25,22.32
2020-04-27,138.41
2020-04-28,86.92
2020-04-29,57.75
2020-04-30,49.37
2020-05-02,26.43
2020-05-04,111.25
2020-05-05,112.59
2020-05-06,147.33
2020-05-07,79.83
2020-05-08,82.45
2020-05-09,59.92
2020-05-11,79.58
2020-05-12,98.92
2020-05-13,109.85
2020-05-14,83.35
2020-05-15,80.05
2020-05-16,29.17
2020-05-18,71.64
2020-05-19,87.55
2020-05-20,64.63
2020-05-21,58.58
2020-05-22,62.74
2020-05-23,31.08
2020-05-25,98.93
2020-05-26,176.43
2020-05-27,152.91
2020-05-28,159.14
2020-05-29,156.21
2020-05-30,98.58
2020-06-01,167.93
2020-06-02,188.58
2020-06-03,133.96
2020-06-04,143.78
2020-06-05,206.93
2020-06-06,87.26
2020-06-08,171.21
2020-06-09,93.3
2020-06-10,50.13
2020-06-11,109.33
2020-06-12,79.75
2020-06-13,22.69
2020-06-15,107.63
2020-06-16,65.06
2020-06-17,70.94
2020-06-18,118.79
2020-06-19,89.59
2020-06-20,60.88
2020-06-22,93.57
2020-06-23,96.96
2020-06-24,56.62
2020-06-25,63.96
2020-06-26,119.57
2020-06-27,28.57
2020-06-29,83.34
2020-06-30,78.73
2020-07-01,65.27
2020-07-02,94.33
2020-07-03,123.32
2020-07-04,33.94
2020-07-06,112.35
2020-07-07,131.55
2020-07-08,99.51
2020-07-09,84.63
2020-07-10,95.94
2020-07-11,28.46
2020-07-13,140.79
2020-07-14,106.27
2020-07-15,100.15
2020-07-16,111.61
2020-07-17,178.21
2020-07-18,48.7
2020-07-20,106.24
2020-07-21,116.67
2020-07-22,119.32
2020-07-23,113.26
2020-07-24,124.48
